code,xcoord,ycoord,perc_poverty,metro,pop_density,gdp_percapita,perc_secondary_compelte,income_gini,lab_perc_of_totpob,street_density_km,intersection_density_km,regularity,bet_cen_Gini,clo_cen_Gini,inf_cen_Gini,country
4449,-109.57045,38.98104,.127,1,-.0128329289297826,3.86897272762767,.925,.4277,.683,.276907756672677,.0796066829637716,-.760319573901465,.79899287,.15824711,.15234818,2
4637,-118.41944,47.57705,.137,1,.549128132229108,3.86886224291256,.935,.4131,.508,1.37726391230238,.404067681834623,-.46832298136646,.76028079,.09954087,.19120582,2
3252,-89.16897,31.62258,.216,1,3.63603554393233,3.6793229066804,.875,.4907,.543,3.29709267587345,2.74294597594744,-.695563695563695,.76892095,.14378161,.13743064,2
2947,-85.79328,40.84704,.133,1,3.4108960554398,3.56660251444857,.918,.4049,.609,3.70138607129638,4.37188314343892,-.675594600385687,.77822939,.09603854,.15021121,2
1813,-79.27355,39.52786,.114,1,2.87854496235605,3.69837785662525,.922,.449,.603,2.35015133442359,1.28282960162051,-.760261194029851,.78827729,.12256421,.15505045,2
2129,-112.22527,48.22773,.19,1,.389672526500755,3.27721161679314,.934,.4121,.645,1.08752957778921,.252427252707281,-.413760603204524,.73911286,.13217817,.1781344,2
2396,-116.47227,38.04264,.173,1,-.0996407723990655,3.51531614703559,.878,.4195,.459,.0825663591064642,.0648319335909659,-.579189990121831,.79694854,.12670213,.13892376,2
808,-114.28555,44.24187,.189,1,-1.10200641119073,3.77103830348712,.947,.4258,.515,.505238383409412,.12647913314693,-.737725295214419,.80660962,.11624278,.13377438,2
1909,-87.86962,46.01,.152,1,2.57950039043531,3.79871584846541,.946,.4537,.563,1.63281409182562,1.08518258003706,-.437529246607394,.80858796,.15865965,.11602084,2
3773,-81.19736,41.16793,.145,2,4.85401748886079,3.51028116863486,.932,.3943,.644,4.41823769280809,4.48542990413026,-.676366217175302,.81853673,.11086778,.17831777,2
3255,-89.50777,31.20573,.163,2,3.82297691049414,3.2335208837643,.892,.4609,.663,2.83042881792002,2.78627818015827,-.789739276703112,.78580943,.11874511,.14064291,2
1688,-88.34798,37.21137,.162,1,2.44955401217549,3.46276083542225,.884,.4505,.534,2.07131680035973,1.2318071566582,-.801603206412826,.81398173,.09699255,.11952105,2
3893,-122.53732,44.48899,.161,2,2.9986171667451,3.4799190506867,.922,.415,.582,1.60004290226389,.929626592770937,-.633818181818182,.8429514,.13414953,.17117735,2
3138,-85.15253,43.31083,.175,2,3.54053446278206,3.15520155266657,.91,.4106,.552,3.41785450876238,1.9628031334741,-.460379464285714,.73808038,.09432582,.19326237,2
2850,-88.08475,38.71241,.15,1,2.85051989681092,3.91966779640719,.931,.4293,.623,2.99825082378752,1.65706658440426,-.372804163955758,.65423169,.1638054,.17802673,2
3996,-79.37742,34.39008,.306,1,3.40045715809761,3.08749640172408,.828,.4718,.516,2.80377327527398,2.10373883051779,-.563752276867031,.72815211,.1518979,.14873907,2
1161,-100.85072,37.19325,.188,1,2.64275150061263,4.04969347419636,.853,.4117,.59,1.95853615055119,1.01310234454976,-.338516746411483,.69739046,.16505918,.1854583,2
4014,-79.67561,34.59906,.266,1,3.11495737559932,3.21117000636355,.827,.4668,.494,2.43244015547504,1.60825473748361,-.63627254509018,.68946246,.149445,.15408979,2
1598,-84.92726,37.32533,.266,1,2.62946839956324,2.91686569509426,.883,.4532,.512,2.47365793827336,1.22289206203003,-.893314366998578,.74005939,.1167602,.15401337,2
4767,-91.14505,45.87932,.177,1,1.62170896753033,3.55444108859953,.927,.4122,.679,1.82275634296189,.956579453082328,-.76421458400257,.8175112,.11058553,.17596173,2
3685,-98.19038,47.92264,.084,1,.181229836917946,3.68327816614907,.959,.437,.605,1.96685232088543,.694910229868953,-.264589235127479,.72038803,.08894242,.19451627,2
379,-82.6216,30.2251,.168,1,3.49118234582268,3.42571756019964,.897,.4426,.542,2.33042020142572,1.84344439611743,-.659731366868581,.78335843,.15400325,.1485196,2
1927,-88.68495,46.89989,.214,1,2.6409733835253,3.36253537768183,.943,.453,.555,1.3470548522463,.858981977513177,-.458612975391499,.82268322,.15841907,.08117351,2
4340,-97.20218,31.55255,.193,2,4.49880780552016,3.8028639667299,.902,.4774,.611,3.72574860614771,4.32116911049665,-.468842214893248,.77357163,.16453259,.13584425,2
4730,-88.77085,45.66678,.175,1,1.24812792812993,3.42966623089737,.906,.4178,.529,1.32921232930029,.458416736237965,-.705980066445183,.73435158,.13430828,.17181132,2
1871,-85.89103,42.59147,.108,1,3.96638342838429,3.51544532319271,.931,.4156,.619,3.51326587202243,2.19104381717515,-.605826906598115,.77154795,.08780891,.18621906,2
